Hash,Message,Hashes of parents,Is it merge,Modified files list
bc9871c93583f3cdcca191b7fa05b255be7275c8,"gt/lt/gte/lte now treat numeric arguments as numeric

This now works:

    https://immutabase-dlmggyoepw.now.sh/northwind-40d049b/Products?UnitsInStock__gt=100

Previously the input value of 100 would be treated as a string.

Also fixed a bug where filter arguments had stopped working entirely.

Refs #23",d9fa2bf7ba2f9d3dcb2beb303f772c86344b4bcf,False,immutabase/app.py
e9fce441956642bef3548e3181d72a88317efa65,Don't serve cache headers in debug or refresh modes,a8a293cd71f7529aff374be5ca01f2ebd5e71ee4,False,datasette/app.py;datasette/cli.py
3280972c891633c6015fa55bbfd094420b4f0233,"Fixed tests I broke earlier

Broke these tests in 21c9c04310dffcdb8cf6fee0f74fc9e7ac1ecf19",3863a30b5d18204b4c77518f1880a1f705e929db,False,tests/test_utils.py
b51836f8463ef65bc947f0a7b6e60167cb7154cf,"Fixed bug with tables with spaces in their name

The new database index page was erroring.",59580d02da80eb963d5bce897c539c6489042025,False,datasette/app.py
666aa032530189d585dd61d0e9851e9fe63ee598,"Improved error handling

Invalid SQL now shows a special error.html template, and is covered by tests.",ff2ab9dc7d82f70daae10f5b0cde87d74704f910,False,datasette/app.py;datasette/templates/base.html;datasette/templates/error.html;tests/test_app.py
efecae5a11617eb576d475192384339fcdb03189,"Full path to database now works

e.g. datasette /tmp/blah.db

Previously this failed because it did not open with full path.",db3fa4abfac366184e97fb313b36d3429e5b937a,False,datasette/app.py
ff2fb573cd8773206a6df83229620928056e2ee2,"datasette publish --name=now-accepts-name

Fixes #72",2bbe9ca34a701191e3bf4e97943b7503a50ab548,False,datasette/cli.py
8252e71da461c425e625e1c3e4ee0bd92ea4cbf0,"Limit on max rows returned, controlled by --max_returned_rows option

If someone executes 'select * from table' against a table with a million rows
in it, we could run into problems: just serializing that much data as JSON is
likely to lock up the server.

Solution: we now have a hard limit on the maximum number of rows that can be
returned by a query. If that limit is exceeded, the server will return a
`""truncated"": true` field in the JSON.

This limit can be optionally controlled by the new `--max_returned_rows`
option. Setting that option to 0 disables the limit entirely.

Closes #69",6b3b05b6db0d2a7b7cec8b8dbb4ddc5e12a376b2,False,README.md;datasette/app.py;datasette/cli.py;datasette/templates/database.html;datasette/templates/error.html;tests/test_app.py
44a199a0625b695492b2a8605030dc61191f39cb,"Stop using sqlite WITH RECURSIVE in our tests

The version of Python 3 running in Travis CI doesn't support this.",d75f423b6fcfc074b7c6f8f7679da8876f181edd,False,tests/test_app.py
bdfb6d4f1359e98e127a3514248fd19b27b574e9,Fixed package output example,06a826c3188af82f27bb6b4e09cc89b782d30bd6,False,README.md
50e817801f90d07468ea394ef562d55d8940d124,"Fixed #83

Turns out we had a redirect bug as well.",bdfb6d4f1359e98e127a3514248fd19b27b574e9,False,datasette/app.py;tests/test_app.py
075d422c0a1c70259188dfbd940538c67419694a,Fixed typo,98ae6d6a4085d67a62c129e69e2a9a611f26502d,False,README.md
f45ca30f91b92ac68adaba893bf034f13ec61ced,"Fixed bug with datasette package --metadata

Closes #84",ea183b2ae3d557a370628e236fe606717c704e2a,False,datasette/utils.py
5d8084a28578da2aefa79ad81df9d82e2c265666,"Added a UI for editing named parameters

Fixes #96",9f47b6e4d80f0f393cf0167a6f48280de6847d1d,False,datasette/app.py;datasette/static/app.css;datasette/templates/database.html
82261a638bd35c9d69a9582a898cf4dab374f76c,"Turn on auto-escaping in Jinja

We had XSS holes! Since we don't do cookies or authentication
they shouldn't cause any actual harm, but still really not good.

https://github.com/pallets/jinja/issues/528",a4af532a31ece7095d710a1f5abb39ea93fe003f,False,datasette/app.py
9199945a1bcec4852e1cb866eb3642614dd32a48,"Fixed 500 on views page

Bug introduced in a4af532a31ece7095d710a1f5abb39ea93fe003f

Refs 85",82261a638bd35c9d69a9582a898cf4dab374f76c,False,datasette/app.py
e6ca88588395a9b8266c0e14121668990d34ff67,"Added initial docs, including a changelog

Docs initialized using this helpful guide:

http://docs.readthedocs.io/en/latest/getting_started.html

I used https://pypi.python.org/pypi/gitchangelog to kick-start the changelog.

Closes #99

Refs #109",9199945a1bcec4852e1cb866eb3642614dd32a48,False,docs/.gitignore;docs/Makefile;docs/changelog.rst;docs/conf.py;docs/index.rst
01e0c3fa18cd0dd7970e208790ffd683a420c924,"Fixed &nbsp; bug

&nbsp; was showing for all None values in table cells, thanks to the
autoescaping change introduced in 82261a638bd35c9",228bce83a37b4bee633f674b802aee13fe5b2f44,False,datasette/templates/table.html
51bdd67691bd69082ae7690af8b905f06050ee80,Changelog for 0.12 release,01e0c3fa18cd0dd7970e208790ffd683a420c924,False,docs/changelog.rst
a9138f044a4d73256c2244243d4e2908d77d218e,Added date to most recent changelog entry,51bdd67691bd69082ae7690af8b905f06050ee80,False,docs/changelog.rst
b9af49be6c68d6e551c1ae23132711f22cb7c63c,"Fix case for Sanic dependency

On PyPI it has a capital letter: https://pypi.python.org/pypi/Sanic

I think this is why the list of ""Requires Distributions"" on https://pypi.python.org/pypi/datasette links to all of the other dependencies but does not link to Sanic.",8b4c600d98b85655b3a1454ebf64f858b5fe54c8,False,setup.py
03572ae35573c2ea802a540624ce116f540ba1ac,"Allow --load-extension to be set via environment variable

I tesed this by first building and running a container using the new
Dockerfile from #114:

    docker build .
    docker run -it -p 8001:8001 6c9ca7e29181 /bin/sh

Then I ran this inside the container itself:

    apt update && apt-get install wget -y \
        && wget http://www.gaia-gis.it/spatialite-2.3.1/test-2.3.sqlite.gz \
        && gunzip test-2.3.sqlite.gz \
        && mv test-2.3.sqlite test23.sqlite \
        && datasette -h 0.0.0.0 test23.sqlite

I visited this URL to confirm I got an error due to spatialite not being
loaded:

http://localhost:8001/test23-c88bc35?sql=select+ST_AsText%28Geometry%29+from+HighWays+limit+1

Then I checked that loading it with `--load-extension` worked correctly:

    datasette -h 0.0.0.0 test23.sqlite \
        --load-extension=/usr/lib/x86_64-linux-gnu/mod_spatialite.so

Then, finally, I tested it with the new environment variable option:

    SQLITE_EXTENSIONS=/usr/lib/x86_64-linux-gnu/mod_spatialite.so \
        datasette -h 0.0.0.0 test23.sqlite

Running it with an invalid environment variable option shows an error:

    $ SQLITE_EXTENSIONS=/usr/lib/x86_64-linux-gnu/blah.so datasette \
        -h 0.0.0.0 test23.sqlite
    Usage: datasette -h [OPTIONS] [FILES]...

    Error: Invalid value for ""--load-extension"": Path ""/usr/lib/x86_64-linux-gnu/blah.so"" does not exist.

Closes #112",ed2b3f25beac720f14869350baacc5f62b065194,False,datasette/cli.py
e16ca1169cc49fbb5b0325564d248becad3a4b7f,"Refactored table column/row display logic

Simplified the template and made the way for upcoming foreign key work.

Refs #85

Also fixed &nbsp; bug on database page - closes #113",084350b0f1343d988928cae63cfedbeb6205e25e,False,datasette/app.py;datasette/templates/database.html;datasette/templates/table.html
45e502aace6cc1198cc5f9a04d61b4a1860a012b,"Added unit tests for inspect() foreign key detection

Used them to fix a bug with it.

Refs #85",e16ca1169cc49fbb5b0325564d248becad3a4b7f,False,datasette/utils.py;tests/test_inspect.py
0b702f3679a2ffd4e3efb5c34b9fe30221172ccb,"Fixed weird edge-case with foreign key detection

It turns out it is possible for a SQLite table to define a foreign key
relationship to a table that does not actually exist

We should still be able to handle these databases.",45e502aace6cc1198cc5f9a04d61b4a1860a012b,False,datasette/utils.py
7feb746efe8c5ed80f477475acc546370bae89e4,Fixed bug where 0 values were showing up blank,6d39429daa4655e3cf7a6a7671493292a20a30a1,False,datasette/templates/database.html
523c6f9e3a2cb9a9b5627ee2951147110e91d499,Fixed bug with FTS against tables with hyphens in the name,a5881e105a02830d26f07e98177248d5910893da,False,datasette/app.py
1f79be7e4e203c7d494df21224f77e6a83d63879,More error checking and docs,54d58ef690f6123415d3a250951946e4431ecfb0,False,datasette/cli.py
de42240afd1e3829fd21cbe77a89ab0eaab20d78,Some bug fixes.,75450abbe8c08526619798aef62133334c935ae9,False,datasette/cli.py;datasette/utils.py
fb505de11c882fa7f2522160509172561b5b8270,"Back-ported format strings for compatibility with Py 3.5

Also fixed a encoding error where Heroku --json return needs to be treated as UTF8",a9b9d427915adc133814a022e554f042d5d82d4d,False,datasette/cli.py;datasette/utils.py
f96e55bce55d26c4d5b198edc536e1b8e9bbea43,"Fix pytest version conflict

https://travis-ci.org/simonw/datasette/jobs/305929426

    pkg_resources.VersionConflict: (pytest 3.2.1 (/home/travis/virtualenv/python3.5.3/lib/python3.5/site-packages), 
    Requirement.parse('pytest==3.2.3'))",fa8eb0bf1b113ab17ede9cd107b7c3bd5cde39c3,False,setup.py
a30c5b220c15360d575e94b0e67f3255e120b916,"Fixed bug on rows page, added unit test

Rows page for rows that linked to the same table in more
than one columns were display incorrectly. Fixed that and added a test.

Also introduced /db/table/row-pk.json?_extras=foreign_key_tables

This is used by the new unit test, but is the first example of a new
?_extras=comma-separated-list pattern I am introducing.",77088876813fea833b6fc3eb588ecc9b02f0a7d7,False,datasette/app.py;tests/test_app.py
4b7596ee5caf68c9b1acd17866f88a57b23db3c4,"Row page now resolves foreign keys

Closes #132",a30c5b220c15360d575e94b0e67f3255e120b916,False,datasette/app.py;datasette/templates/_rows_and_columns.html;datasette/templates/row.html;datasette/templates/table.html
ab32bd64272886440c92c2fff846faa35b761158,"Fixed bug with params other than p0

p1 and upwards were not correctly extracted.",b45077839100a57adbc284ad5bf555002da819e8,False,datasette/app.py
e3dd2483bb78f3d4b80db6de5475ceb163155b80,Fixed quoting on foreign-key links to tables with spaces in name,c5c923d93c26f312b713b81c8d08db5c3279a23a,False,datasette/app.py
7ff51598c468deb1d2c0d4c23a808458c9b1e3a2,"git commit -m ""datasette --template-dir=mytemplates/"" argument

You can now pass an additional argument specifying a directory to look for
custom templates in.

Datasette will fall back on the default templates if a template is not
found in that directory.

Refs #12, #153",ffa77f62b46e1ddf2f848f5da10a1e958323a084,False,datasette/app.py;datasette/cli.py
1ecac1a4389b85f7acfad513bf6ab20899862d0b,Fix display of select boxes in Firefox,1feb5735dad538312fac8b76705c05516250967b,False,datasette/static/app.css
0cfd7ce59d9018eb07af8f9e20f7d04308c9d01d,"Allow WITH query (previously we required SELECT at start)

Fixes #161",e981ac7d4d1e1603257369eb5edba0fc4fdf5ae9,False,datasette/utils.py;tests/test_app.py;tests/test_utils.py
709f4f2798d0490ae048094536bed7e973ea29f4,"Fixed bug with detecting FTS tables

Closes #135",67ad77a307c7c264c68d768fa8290997e3b75e77,False,datasette/utils.py;tests/test_utils.py
52a5e95d21c9b2b7b50f5bc423e3746ae0538734,"Fixed bug with filter columns

Closes #162",709f4f2798d0490ae048094536bed7e973ea29f4,False,datasette/app.py;datasette/templates/table.html
198b8b2955b9d8a8a80ce850a92a99426c5f161f,"Fixed row page for tables with a primary key

Closes #152",52a5e95d21c9b2b7b50f5bc423e3746ae0538734,False,datasette/app.py
a2b954e82818d5aa4b4c313d9a687d6a7bdd04b5,Fixed #155,198b8b2955b9d8a8a80ce850a92a99426c5f161f,False,datasette/app.py
515eaa8ccba0603de5b14679b74402f3ddf02bd7,--reload now reloads on metadata changes too,32cf5a4a72c1c8d46dd302566fdcbf4793f2f927,False,datasette/cli.py
cbfd6b745eabf51295e5a5e0ea57a0f93d63b37d,"Publish should now work if /tmp is on different device

Fixes #141",9af2964f6fd4ae876ef8ecd2c14c2ffa61542fdb,False,datasette/utils.py;tests/test_utils.py
16dfccb1c569359fa2a03639ada233e7661156af,"Include sha1 hash in /static/app.css URL

This means that when Datasette's CSS changes the new CSS will be loaded
even though browsers may have cached the previous version.

Closes #154",446f4b832272b2286f6f65af19714eb64afb7aa6,False,datasette/app.py;datasette/templates/base.html
3459ab91665d956ff6a25f8e94dcb9c325dd10e5,Formatting fixes,c195ee4d46f2577b1943836a8270d84c8341d138,False,docs/custom_templates.rst
1c0d93c39b194103e729aed2496d2d24f5ad4850,Fix Python 3.5 test failure,b01304d7070df5a02870ebd204ea093f3742029e,False,datasette/app.py
3f2fed109395179de4145ca1a2675360f1717225,"Fixed bug with HTML labels

loop.counter is incorrect - loop.index outputs the correct loop value.",7126d08f10d637c9f1af346324f6f7c0fece8be4,False,datasette/templates/query.html
7a7e4b2ed8c76c6d002a9d707dbc840f6a2abf7f,"Started unit tests for row/table HTML pages

Refs #167

Thanks to the new tests, spotted and fixed a bug where pages that were
supposed to have 100 things on them were actually displaying 101.",3f2fed109395179de4145ca1a2675360f1717225,False,datasette/app.py;setup.py;tests/test_app.py
794c3bfcfc03087bbebffb7b228e81aaa8b72183,"Cleaned up row/column display logic, fixed bug

Closes #167",7a7e4b2ed8c76c6d002a9d707dbc840f6a2abf7f,False,datasette/app.py;tests/test_app.py
1aad396c9ef46837b224607086c09f48ac921165,"Fixed bug with .json path regular expression

I had a table called ""geojson"" and it caused an exception because the regex
was matching .json and not \.json",4f08fc092f59b434c11f77b6fb2d29b3255227e5,False,datasette/app.py
012fc7c5cd3e9160c9a4c19cc964253e97fb054a,Fix for FTS virtual table counting error,56623e48da5412b25fb39cc26b9c743b684dd968,False,datasette/app.py
31f63d1672a9214962cd7335a2daeabab7c0000e,"Fixed bug with keyset pagination over compound primary keys

Closes #190",89d9fbb91bfc0dd9091b34dbf3cf540ab849cc44,False,datasette/app.py;datasette/utils.py;tests/fixtures.py;tests/test_api.py;tests/test_utils.py
dd0566ff8eda7fa2f0d92e51809581fae62cffed,"Utility for writing test database fixtures to a .db file

	python tests/fixtures.py /tmp/hello.db

This is useful for making a SQLite database of the test fixtures for
interactive exploration.",8f0d44d6468a96e9b78487c36da20ddc2ae9d937,False,tests/fixtures.py
a87df963a08054ad7a652f0218e70ddb7f9cc8bd,"Error handling for ?_sort and ?_sort_desc

Verifies that they match an existing column, and only one or the other option
is provided - refs #189

Eses a new DatasetteError exception that closes #193",bfb19e3a178ba9b2dab2f90f90a398b54a73d34e,False,datasette/app.py;tests/test_api.py
c1d37fdf2be84fb07155bb1b1f61057444b03300,"Fixed bug with human filter description, refs #189

We were showing this:

    201 rows where sorted by sortable_with_nulls

We now show this:

    201 rows sorted by sortable_with_nulls",23e0fdb0f3196ffa4d8bc4944c8bc9cb0f89129b,False,datasette/templates/table.html;datasette/utils.py;tests/test_api.py
9f28bbe43dc277a3963a12aaae37b5ee3c277207,"Better mechanism for handling errors; 404s for missing table/database

New error mechanism closes #193

404s for missing tables/databesse closes #184

Makes pull request #202 unnecessary.",ad6142b67c8f137b001770339510979c5df43d85,False,datasette/app.py;datasette/templates/500.html;datasette/templates/base.html;datasette/templates/error.html;tests/test_api.py;tests/test_html.py
fb988ace7c7e2bee5ac142a0eab22431d0675a77,"Release 0.17 to fix issues with PyPI

See https://twitter.com/simonw/status/984862976447414272",b6539ff04502536bd1fa96e3b1430bdafc456826,False,datasette/version.py
1cc5161089e559c8b16049b20f7a5b3a43290c21,"Fix sqlite error when loading rows with no incoming FKs

This fixes `ERROR: conn=<sqlite3.Connection object at 0x10bbb9f10>, sql
= 'select ', params = {'id': '1'}` caused by an invalid query when
loading incoming FKs.

The error was ignored due to async but it still got printed to the
console.",ec6abc81e433c9bac1b9f085111785fc227e9e34,False,datasette/app.py
f2b940d6026677f6859d46a4f16fa402745d261d,"Link foreign keys which don't have labels

This renders unlabeled FKs as simple links. I can't see why this would
cause any major problems.

Also includes bonus fixes for two minor issues:

* In foreign key link hrefs the primary key was escaped using HTML
  escaping rather than URL escaping. This broke some non-integer PKs.
* Print tracebacks to console when handling 500 errors.",d72201e883c0612d14dfb8ffdd61aa0fe223d94a,False,datasette/app.py
efbb4e83374a2c795e436c72fa79f70da72309b8,"Return HTTP 405 on InvalidUsage rather than 500

This also stops it filling up the logs. This happens for HEAD requests
at the moment - which perhaps should be handled better, but that's a
different issue.",8d394586f55bc4b8ab70476968d08fb6ec8339e5,False,datasette/app.py
92396ae5bacedfcb3d7c81319ccdd04483fd7fd4,Better fix for setup.py version,33c7c53ff87c25445c68088ede49d062d9c31fe8,False,setup.py
2abe539a0f9f967ec0de6894774cb7ee83c4b3b9,Fixed #216 - paginate correctly when sorting by nullable column,1652a9707e325b387ab9550e78eefd48029be44f,False,datasette/app.py;tests/fixtures.py;tests/test_api.py
07fc2d113e462bfd8d7d56152c0d1fc55e0fdbe9,"Fix for _sort_desc=sortable_with_nulls test, refs #216",2abe539a0f9f967ec0de6894774cb7ee83c4b3b9,False,tests/test_api.py
5364fa7f3357f2de24fd45c85832205377642f19,"Revert #216 until I can get tests to pass in Travis

Revert ""Fix for _sort_desc=sortable_with_nulls test, refs #216""

This reverts commit 07fc2d113e462bfd8d7d56152c0d1fc55e0fdbe9.

Revert ""Fixed #216 - paginate correctly when sorting by nullable column""

This reverts commit 2abe539a0f9f967ec0de6894774cb7ee83c4b3b9.",07fc2d113e462bfd8d7d56152c0d1fc55e0fdbe9,False,datasette/app.py;tests/fixtures.py;tests/test_api.py
5ebc7137d736d8fa47b24cc799fb93909f49cabb,"Use application/octet-stream for downloadable databses

I'd also like to send the Content-Length here but that's not currently
possible in Sanic - see bug report here:

https://github.com/channelcat/sanic/issues/1194",1f384e662b58e2eb43ce20842976b677e4478f43,False,datasette/app.py
aaf59db570ab7688af72c08bb5bc1edc145e3e07,"Longer time limit for test_paginate_compound_keys

It was failing intermittently in Travis - see #209",5ebc7137d736d8fa47b24cc799fb93909f49cabb,False,tests/fixtures.py;tests/test_api.py
4586aa506a054d07e674cde8143a3008e6bc5d78,"Don't duplicate simple primary keys in the link column

When there's a simple (single-column) primary key, it looks weird to
duplicate it in the link column.

This change removes the second PK column and treats the link column as
if it were the PK column from a header/sorting perspective.",b231d4243d748facf1897e7756c2b578bb448edc,False,datasette/app.py
ca588b6a30e50212f6ac233121745a4216d878f9,Fixed example HTML in CSS docs,0bb483ca5bee61c9f7d148b5755d2eed56001aca,False,docs/custom_templates.rst
4be6deb94776744071311777f0b18efb993c0cfa,"Fix for plugins in Python 3.5 (#222)

ModuleNotFoundError is not a thing in Python 3.5, so catch KeyError/ImportError instead.",1c36d07dd432b9960f4f2d096739460b4fcf8877,False,datasette/app.py
1e4c29501289f7bc7b3b7daf60f1ddd9f66ee338,Fixed out-dated template in documentation,b52171db1e97e2be1ff2dc505ccf29107288b27b,False,docs/custom_templates.rst
a971718d2a5e1b61b5e5c27b0ef6c4ec65616e35,Fix a typo (#232),05bdf53358ec6ea81a7dce17290f3db0cd94d23d,False,README.md
f3f42957128c1e7ece584d45d9167f2ac003a3b8,"label_column now defined on the table-being-linked-to, fixes #234",f27cabbaf3d834f47bc6bea1de7e27c11fcfa5e7,False,datasette/app.py;tests/fixtures.py;tests/test_api.py;tests/test_html.py
4504d5160b2d86d4dae17b7c2f72bc3b02509c2c,"If max_returned_rows==page_size, increment max_returned_rows

Fixes #230, where if the two were equal pagination didn't work correctly.",02ee31c8b45b872fff91e2059c15a20532e2d035,False,datasette/app.py;tests/fixtures.py;tests/test_api.py
a4cc5dc81364a7300f0ba0bd5711633e803c250a,"New ?_shape=array option + tweaks to _shape, closes #245

* Default is now ?_shape=arrays (renamed from lists)
* New ?_shape=array returns an array of objects as the root object
* Changed ?_shape=object to return the object as the root
* Updated docs",2565d623af6222f3ed1c630f753b5f95ad749d49,False,datasette/app.py;docs/json_api.rst;tests/test_api.py
690736436bac599ca042d1caa465c6d66d2651f9,"Bump up time limit for test_paginate_tables_and_views

It was intermittently failing in Travis CI on Python 3.5:

https://travis-ci.org/simonw/datasette/jobs/373713476",349e262bb1c8f225cf86a5e8542253282809a0eb,False,tests/test_api.py
801381b7657dd084c11ac2fb6e3d0194cfaa3455,"Default tests to using a longer timelimit

Every now and then a test will fail in Travis CI on Python 3.5 because it hit
the default 20ms SQL time limit.

Test fixtures now default to a 200ms time limit, and we only use the 20ms time
limit for the specific test that tests query interruption. This should make
our tests on Python 3.5 in Travis much more stable.",1259b8ac0bb25fc8af61c1948e2cc16860dca7ff,False,tests/fixtures.py;tests/test_api.py
62c08d0d7197264af678c2f6e0c6403196217184,"Revert ""Travis should now deploy new tags to PyPI if tests pass""

This reverts commit d39b2e357e34469728f300273ab07c3904ea7a2b.

It failed with this error: https://travis-ci.org/simonw/datasette/jobs/375398977

	Uploading distributions to https://upload.pypi.org/legacy/
	Uploading datasette-0.21-py3-none-any.whl
	100% 182k/182k [00:00<00:00, 694kB/s]
	HTTPError: 403 Client Error: Invalid or non-existent authentication information. for url: https://upload.pypi.org/legacy/",403211de632cd15f0820cc9399305fc43c187b47,False,.travis.yml
4301a8f3ac69f2f54916e73cc90fcf216a9a3746,"Case insensitive querystring comparison, fix Python 3.5",eaaa3ea1498df0d4790f814e3d2f3fcc5ea28429,False,tests/test_html.py
ddef2298509e3027a44971a681ad7855bf07b51a,"Initial implementation of suggested facets

Causes tests to break at the moment",8a4ed052a5034d3f12daf5eedabb0808a0bf20fc,False,datasette/templates/table.html;datasette/views/table.py
514873c6295dcd467d806064a549e46b4ea3279a,Fix bug with toggle_url on integer facets,1dc94f6eaa98431da9c61e803e2b05b082f9c6e8,False,datasette/views/table.py
b263da78e329853ceea41c4ecabe7e8bb08d20a7,"Reliable sort order for facets in Python 3.5, fixing test - refs #255",062303419cef9bbf72927c4ac4efdb185829c03b,False,datasette/templates/table.html;datasette/views/table.py;tests/test_html.py
858d79fe938afbe04e2b249da71860e812869ec8,Typo fix,566f2d31d6f4950200b64424f6f9cfdd06343f4e,False,docs/facets.rst
08f4b7658fec97419eb34118a2cd5c8be805673f,"Show facets that timed out using new InterruptedError

If the user requests some _facet= options that do not successfully execute in
the configured facet_time_limit_ms, we now show a warning message like this:

    These facets timed out: rowid, Title

To build this I had to clean up our SQLite interrupted logic. We now raise a
custom InterruptedError exception when SQLite terminates due to exceeding a
time limit.

In implementing this I found and fixed a logic error where invalid SQL was
being generated in some cases for our faceting calculations but the resulting
sqlite3.OperationalError had been incorrectly captured and treated as a
timeout.

Refs #255
Closes #269",cef9a9a8701af86cc7df8b7939398185f0a76f5f,False,datasette/templates/table.html;datasette/utils.py;datasette/views/base.py;datasette/views/table.py
0b8e5981a37c0da75ce4f4e6b6b5275681e2e0c5,Typo fix,bd3353a31f930c2e504094d79513cadbade43cda,False,docs/introspection.rst
2bfd111d65c892e54b06c2c9498ce2b4cc3e67ff,"Faceting no longer breaks pagination, fixes #282",49f317752cfe89c5641165a490eef49e025752a7,False,datasette/views/table.py;tests/test_api.py
5d6252788230d168ba09f379d1d2af867e3302ab,0.22.1 bugfix release,2bfd111d65c892e54b06c2c9498ce2b4cc3e67ff,False,README.md;docs/changelog.rst
f98e62fe5ac48cd31362b7e2001b0262fa68ef3b,Fix for 500 error on /db?sql=x,b9b93583467986a72f34732fc87a201157ad83ea,False,datasette/views/base.py
df71e8cea87542aa7a7be84fabca0adc1177728d,Fixed documentation typo,37f8361c6f7b3eeaa351c0cd93b6db1fdd2744ab,False,docs/spatialite.rst
a4d6acc23943759b46fa90ec68e500016b933410,"Use scope='session' for all fixtures

This means they will only be executed once which makes sense
since the database they create is immutable.",76d11eb768e2f05f593c4d37a25280c0fcdf8fd6,False,tests/test_api.py;tests/test_html.py;tests/test_inspect.py
b0a95da96386ddf99816911e08df86178ffa9a89,"Show more useful error message for SQL interrupted, closes #142",98c8f0e7285fb58b7cbb38304e2ed4576774ad91,False,datasette/app.py;datasette/views/base.py;tests/test_html.py
1a8b0213e0152234b25f2777d5c6f61a41834c8a,Fixed broken test introduced in b0a95da96,27eff1809c21b7c1ae2ba33ebde1dac7f8bc8fbc,False,tests/test_api.py
d69ebce53385b7c6fafb85fdab3b136dbf3f332c,Fixed broken :ref:,1a8b0213e0152234b25f2777d5c6f61a41834c8a,False,docs/spatialite.rst
969771770fcf795daace72e2310804e699067cfe,"Upgrade pytest to 3.6.0

https://github.com/pytest-dev/pytest/issues/1875 made it impossible to declare
a function as a fixture multiple times, which we were doing across different
modules. The fix was to move our @pytest.fixture calls into decorators in the
tests/fixtures.py module.",16398641d95db7374fddccc79d0f08e4d4c96ee1,False,setup.py;tests/fixtures.py;tests/test_api.py;tests/test_html.py;tests/test_plugins.py
